Song Title,Total Streams,Daily Streams
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),106471324,84598
This Love,106359659,25809
Long Live (Taylor's Version),106163425,401057
Out Of The Woods (Taylor's Version),104211973,437763
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),104121498,130952
Come Back...Be Here (Taylor's Version),103605950,130268
Treacherous (Taylor's Version),103582641,104460
Sparks Fly (Taylor’s Version),103025297,248678
Forever & Always (Taylor’s Version),103002436,130796
Haunted,101110153,32276
it’s time to go - bonus track,100883759,137357
Long Live,98332703,34681
Begin Again (Taylor's Version),94552863,116496
Fifteen (Taylor’s Version),93512588,113960
New Romantics (Taylor's Version),92537355,427966
Dear John (Taylor's Version),92488765,218972
Welcome To New York (Taylor's Version),89934456,361216
Sad Beautiful Tragic (Taylor's Version),89838369,104927
White Horse (Taylor’s Version),89673856,162972
Speak Now (Taylor's Version),89415534,181869
Suburban Legends (Taylor's Version) (From The Vault),89324780,264150
Forever Winter (Taylor's Version) (From The Vault),87174702,97035
Shake It Off (Taylor's Version),87126963,446808
I Almost Do (Taylor's Version),86389430,89007
Mean (Taylor's Version),84609718,211404
Never Grow Up,83858286,27558
Stay Stay Stay (Taylor's Version),83598265,81391
Hey Stephen (Taylor’s Version),83164370,95607
Karma (feat. Ice Spice),82714915,110826
The Story Of Us (Taylor's Version),82683515,194478
Holy Ground (Taylor's Version),80682548,94607
Foolish One (Taylor’s Version) (From The Vault),79128041,220843
All You Had To Do Was Stay (Taylor's Version),78199618,317578
Clean (Taylor's Version),76090397,340740
Back To December - Acoustic,74977599,13299
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),74592710,155129
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),73748045,81328
* Both of Us (feat. Taylor Swift),73206780,23645
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),72824205,141678
Timeless (Taylor’s Version) (From The Vault),72822086,166452
The Lucky One (Taylor's Version),72411185,72470
When Emma Falls in Love (Taylor’s Version) (From The Vault),71369764,130680
Ours,70749242,15358
The Way I Loved You,68817200,21805
I Wish You Would (Taylor's Version),68534545,284041
Breathe,67461012,13651
You’re Not Sorry (Taylor’s Version),67253468,89567
Last Kiss (Taylor's Version),66700480,170837
Haunted (Taylor's Version),66647866,166377
The Moment I Knew (Taylor's Version),66521707,73564
The Other Side Of The Door (Taylor’s Version),66356140,90830
Bad Blood (Taylor's Version),66170118,294481
Don’t You (Taylor’s Version) (From The Vault),66160692,80412
Starlight (Taylor's Version),66077259,80218
The Last Time,65894493,10733
Cornelia Street - Live From Paris,65253733,44815
Carolina - From The Motion Picture “Where The Crawdads Sing”,64884126,74099
September - Recorded at The Tracking Room Nashville,63733634,46741
Breathe (feat. Colbie Caillat) (Taylor’s Version),62243856,72034
I Almost Do,61521479,8723
State Of Grace,60465191,10224
If This Was A Movie (Taylor’s Version),60083729,99997
You Are In Love (Taylor's Version),59887979,236265
I Know Places (Taylor's Version),59748626,204841
Wonderland (Taylor's Version),58880444,208145
How You Get The Girl (Taylor's Version),58059247,210741
Stay Stay Stay,56786834,8839
We Were Happy (Taylor’s Version) (From The Vault),55848597,65007
Girl At Home (Taylor's Version),54920631,58127
Treacherous,54694661,7946
Holy Ground,53801106,8058
Tell Me Why (Taylor’s Version),53443734,73083
Forever & Always,52889811,13122
Untouchable (Taylor’s Version),52772261,70958
Jump Then Fall (Taylor’s Version),52114781,67294
Bye Bye Baby (Taylor’s Version) (From The Vault),51990209,62529
Mine - POP Mix,51419098,10439
