song_name,total_streams,daily_streams,album_name,album_id,release_date,track_number,id,explicit,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,energy_y,danceability_y,loudness_y,speechiness_y,tempo_y,valence_y,duration_ms_y
ME! (feat. Brendon Urie of Panic! At The Disco),831259199,360473,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,16,2Rk4JlNc2TPmZe2af99d45,FALSE,spotify:track:2Rk4JlNc2TPmZe2af99d45,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,0.728,81,193000,0.855769231,0.56116208,0.862947014,0.038249522,0.809999929,0.762588339,0.207158538
I Knew You Were Trouble.,797373818,496729,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,4,72jCZdH0Lhg93z6Z4hBjgj,FALSE,spotify:track:72jCZdH0Lhg93z6Z4hBjgj,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,63,217973,0.421875,0.579510703,0.694876116,0.014849814,0.063357028,0.708480565,0.254297595
willow,784742710,892433,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,1,0lx2cLdOt3piJbcaXIV74f,FALSE,spotify:track:0lx2cLdOt3piJbcaXIV74f,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,84,214706,0.548076923,0.227828746,0.545278662,0.165260434,0.092422295,0.542844523,0.248130803
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),780197215,912387,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,30,5enxwA8aAbwZbf5qCHORXi,FALSE,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,87,613026,0.480769231,0.593272171,0.571740623,0.008099899,0.17700485,0.185070671,1
Enchanted,768693446,518336,Speak Now,34htrbhergrgerhrh,25/10/2010,9,10eBRyImhfqVvkiVEGf0N0,FALSE,spotify:track:10eBRyImhfqVvkiVEGf0N0,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,70,352186,0.606971154,0.324159021,0.877114148,0.00641242,0.680267858,0.188383392,0.507638177
exile (feat. Bon Iver),709452277,704084,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,4,4pvb0WLRcMtbPGmtejJJ6y,FALSE,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,0.778,0.298,0.38,5.62E-05,0.11,-8.426,0.0287,75.602,0.152,83,285634,0.314903846,0.084097859,0.593272171,0.006299921,0.053294608,0.126545936,0.382014561
The Man,697716626,865822,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,4,3RauEVgRgj1IuWdJ9fDs70,FALSE,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,87,190360,0.649038462,0.816513761,0.795169444,0.034762065,0.297903012,0.657685512,0.202175271
Karma,697247526,1212950,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,11,7KokYm8cMIXCsGVmUvKtqf,TRUE,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.0734,0.642,0.62,0,0.483,-7.091,0.0666,90.02,0.0969,88,204852,0.603365385,0.610091743,0.676589902,0.048936888,0.155679906,0.065702297,0.229530384
Love Story (Taylor's Version),673735589,1172624,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,9/04/2021,3,6YvqWjhGD8mB5QXcbcUKtx,FALSE,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97E-06,0.0845,-4.311,0.031,119.054,0.415,82,235766,0.810096154,0.587155963,0.850090495,0.008887389,0.361856541,0.416961131,0.287883678
...Ready For It?,665213062,887459,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,1,2yLa0QULdQr0qAIvVwN6B5,FALSE,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,87,208186,0.776442308,0.565749235,0.712912688,0.127010912,0.652729351,0.419169611,0.235823645
