song_name,total_streams,daily_streams,album_name,album_id,release_date,track_number,id,explicit,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,energy_y,danceability_y,loudness_y,speechiness_y,tempo_y,valence_y,duration_ms_y
We Are Never Ever Getting Back Together (Taylor's Version),296659342,565056,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,8,5YqltLsjdqFtvqE7Nrysvs,FALSE,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86E-06,0.0732,-6.139,0.175,172.014,0.716,81,193146,0.682692308,0.495412844,0.736004494,0.170885364,0.737936813,0.749337456,0.207434127
seven,287995573,318623,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,7,6KJqZcs9XDgVck7Lg9QOTC,FALSE,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,0.9,0.596,0.488,2.70E-05,0.091,-10.769,0.0274,94.926,0.415,77,208906,0.444711538,0.539755352,0.447044873,0.00483744,0.19051846,0.416961131,0.237182718
Question...?,282205214,234496,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,7,0heeNYlwOGuUSe7TgUD27B,TRUE,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,0,0.296,-8.763,0.167,108.943,0.106,74,210556,0.461538462,0.77675841,0.572239905,0.161885476,0.290056171,0.075750883,0.240297259
tolerate it,281199262,504060,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,5,0PurA4JVJ8YQgSVopY8fn6,TRUE,spotify:track:0PurA4JVJ8YQgSVopY8fn6,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,80,245440,0.292067308,0.111620795,0.471260064,0.028912139,0.048678819,0.202738516,0.30614433
New Romantics,271802107,109577,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,16,6rZVy6FIG7lSJQMFXHo12z,FALSE,spotify:track:6rZVy6FIG7lSJQMFXHo12z,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,0.584,66,230466,0.926682692,0.596330275,0.75279286,0.054449319,0.382464263,0.603577739,0.277879394
gold rush,270414726,255083,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,3,5BK0uqwY9DNfZ630STAEaq,TRUE,spotify:track:5BK0uqwY9DNfZ630STAEaq,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,74,185320,0.413461538,0.411314985,0.464394932,0.019912251,0.312119641,0.348498233,0.192661763
Death By A Thousand Cuts,269834141,245132,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,10,2dgFqt3w9xIQRjhPtwNk3D,FALSE,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,78,198533,0.737980769,0.717125382,0.697622168,0.04477444,0.184446922,0.304328622,0.217602634
Everything Has Changed,269332822,69484,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,14,4NAmRvqSITAAzKWnC8yRq3,FALSE,spotify:track:4NAmRvqSITAAzKWnC8yRq3,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,53,243933,0.408653846,0.582568807,0.697559758,0.006299921,0.084646466,0.440150177,0.303299715
Red (Taylor's Version),264399067,339047,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,2,4OAuvHryIVv4kMDNSLuPt6,FALSE,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62E-06,0.0761,-4.908,0.0375,125.047,0.408,80,223093,0.792067308,0.417431193,0.812831555,0.016199798,0.404414114,0.409231449,0.263962112
The Great War,259485955,292024,Midnights,1fnJ7k0bllNfL1kVdNVW1A,22/10/2022,14,3UMrglJeju5yWyYIW6o99b,FALSE,spotify:track:3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,2.23E-05,0.0842,-8.987,0.0353,96.016,0.554,75,240355,0.748798077,0.504587156,0.558260001,0.013724828,0.198258782,0.57045053,0.296545879
"no body, no crime (feat. HAIM)",258531793,240911,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,6,3RaT22zZsxVYxxKR7TAaYF,FALSE,spotify:track:3RaT22zZsxVYxxKR7TAaYF,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,72,215626,0.594951923,0.463302752,0.64550958,0.003712454,0.07753105,0.549469965,0.249867396
I Think He Knows,258053182,251715,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,6,2YWtcWi3a83pdEg3Gif4Pd,FALSE,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,78,173386,0.298076923,1,0.618049054,0.038024525,0.226571321,0.418065371,0.170135133
Fearless (Taylor's Version),257202852,590124,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,9/04/2021,1,77sMIMlNaSURUAXq5coCxE,FALSE,spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,0.43,83,241591,0.748798077,0.498470948,0.809398989,0.005737428,0.227387961,0.433524735,0.298878954
Sweet Nothing,255806294,269182,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,12,0wavGRldH0AWyu2zvTz8zb,FALSE,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.964,0.337,0.156,7.72E-05,0.115,-14.919,0.0518,176.655,0.39,76,188496,0.045673077,0.143730887,0.188042189,0.032287096,0.770893546,0.389355124,0.198656783
Labyrinth,253817207,301244,Midnights,1fnJ7k0bllNfL1kVdNVW1A,21/10/2022,10,0A1JLUlkZkp2EFrosoNQi0,FALSE,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,77,247962,0.225961538,0.249235474,0.153030019,0.032174598,0.29766157,0.093418728,0.310904859
King Of My Heart,251285569,267263,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,10,7HuBDWi18s4aJM8UFnNheH,FALSE,spotify:track:7HuBDWi18s4aJM8UFnNheH,0.00882,0.675,0.703,2.21E-06,0.0391,-7.902,0.0382,110.01,0.314,80,214320,0.703125,0.660550459,0.625975161,0.016987288,0.297633166,0.305432862,0.247402189
tis the damn season,250762063,321923,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,4,7dW84mWkdWE5a6lFWxJCBG,FALSE,spotify:track:7dW84mWkdWE5a6lFWxJCBG,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,0.348,76,229840,0.379807692,0.50764526,0.607813768,0.009112386,0.552609341,0.342977032,0.276697755
22 (Taylor's Version),249372919,499411,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,6,3yII7UwgLF6K5zW3xad3MP,FALSE,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02E-05,0.0753,-5.62,0.0281,103.984,0.642,80,230960,0.693509615,0.610091743,0.768395432,0.00562493,0.254841252,0.667623675,0.278811868
Red,248887894,85352,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,2,0cITLOYn1Sv4q27zZPqlNK,FALSE,spotify:track:0cITLOYn1Sv4q27zZPqlNK,0.0773,0.602,0.896,8.87E-05,0.091,-4.267,0.0437,124.978,0.641,59,220826,0.935096154,0.548929664,0.852836547,0.02317471,0.403924131,0.666519435,0.259682921
"Would've, Could've, Should've",247828797,307626,Midnights,1fnJ7k0bllNfL1kVdNVW1A,22/10/2022,19,0aV5uARAknQgYhBaK944FP,FALSE,spotify:track:0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,75,260361,0.867788462,0.366972477,0.712975098,0.107886151,0.638271281,0.566033569,0.334309223
All Too Well,242822545,65763,Red,523543fewrgQEFQ34gergerhrh,22/10/2012,5,4XMP3zVxrnr58T0tjIHvpR,FALSE,spotify:track:4XMP3zVxrnr58T0tjIHvpR,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,47,327893,0.590144231,0.548929664,0.632153779,0.001349983,0.177267595,0.330830389,0.461782688
Welcome To New York,242265974,81738,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,1,6qnM0XXPZOINWA778uNqQ9,FALSE,spotify:track:6qnM0XXPZOINWA778uNqQ9,0.038,0.793,0.634,1.76E-06,0.304,-4.807,0.0324,117.024,0.615,62,212600,0.620192308,0.840978593,0.819134993,0.010462369,0.347441078,0.637809187,0.244155516
All Too Well (Taylor's Version),240767841,262495,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,5,3nsfB1vus2qaloUdcBZvDu,FALSE,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,77,329160,0.492788462,0.301223242,0.631779317,0.009674879,0.837055553,0.104461131,0.464174278
Dancing With Our Hands Tied,234409103,245464,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,11,7I7JbDv63ZJJsSi24DyJrz,FALSE,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0.0604,0.624,0.691,1.10E-05,0.138,-6.686,0.196,160.024,0.284,79,211506,0.688701923,0.582568807,0.701866068,0.194510069,0.652793262,0.272305654,0.24209048
Enchanted (Taylor's Version),230594076,824818,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,7/07/2023,9,3sW3oSbzsfecv9XoUdGs7h,FALSE,spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.012,0.505,0.532,0,0.149,-3.526,0.0265,81.907,0.216,86,353253,0.497596154,0.400611621,0.899082569,0.003824952,0.09806776,0.197217314,0.509652247
This Love (Taylor's Version),227423895,353940,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,11,5QVVjX0ZItqlVpEuVCM9Yg,FALSE,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,0.299,0.474,0.511,0,0.0673,-8.766,0.0339,144.022,0.0586,76,250100,0.472355769,0.353211009,0.572052674,0.012149848,0.539159642,0.023409894,0.31494055
Mean,224540064,70331,Speak Now,34htrbhergrgerhrh,25/10/2010,6,5yEPktRqvIhko5QFF3aBhQ,FALSE,spotify:track:5yEPktRqvIhko5QFF3aBhQ,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,0.789,62,237733,0.772836538,0.496941896,0.870311427,0.025649679,0.680843056,0.829946996,0.291596589
I Can See You (Taylor's Version) (From The Vault),220636784,381977,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,7/07/2023,19,5kHMfzgLZP95O9NBy0ku4v,FALSE,spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0586,0.694,0.764,0,0.0608,-4.893,0.0337,123.044,0.819,82,273186,0.776442308,0.689602446,0.813767709,0.011924851,0.390190384,0.863074205,0.358517705
Mine,218449264,65795,Speak Now,34htrbhergrgerhrh,25/10/2010,1,0dBW6ZsW8skfvoRfgeerBF,FALSE,spotify:track:0dBW6ZsW8skfvoRfgeerBF,0.00265,0.624,0.757,1.87E-06,0.189,-2.94,0.0296,121.07,0.658,61,230706,0.768028846,0.582568807,0.935654996,0.007312409,0.376172588,0.685291519,0.278332418
All You Had To Do Was Stay,216667344,45203,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,5,0dAb8TY433dl3ZfXYCLE19,FALSE,spotify:track:0dAb8TY433dl3ZfXYCLE19,0.00196,0.602,0.736,4.57E-05,0.105,-5.778,0.0338,96.969,0.471,58,193293,0.742788462,0.548929664,0.758534607,0.01203735,0.205026239,0.478798587,0.207711605
False God,216345424,267238,Lover,1NAmidJlEaVgA3MpcPFYGq,23/08/2019,13,5hQSXkFgbxjZo9uCwd11so,FALSE,spotify:track:5hQSXkFgbxjZo9uCwd11so,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,78,200306,0.242788462,0.758409786,0.441240716,0.242884464,0.084312709,0.346289753,0.22094935
Now That We Don't Talk (Taylor's Version) (From The Vault),214691227,814602,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,19,5KD6AEm19QnMbfWpfoOHMl,FALSE,spotify:track:5KD6AEm19QnMbfWpfoOHMl,0.186,0.793,0.512,3.81E-05,0.0889,-9.319,0.0338,109.994,0.0662,87,146436,0.473557692,0.840978593,0.537539787,0.01203735,0.297519546,0.03180212,0.119264289
This Is Why We Can't Have Nice Things,208123537,202246,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,13,07NxDD1iKCHbAldceD7QLP,FALSE,spotify:track:07NxDD1iKCHbAldceD7QLP,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,77,207133,0.806490385,0.495412844,0.745553267,0.103386208,0.680743639,0.442358657,0.233836001
"""Slut!"" (Taylor's Version) (From The Vault)",207272266,942435,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,17,71BqAINEnezjQfxE4VuJfq,FALSE,spotify:track:71BqAINEnezjQfxE4VuJfq,0.345,0.629,0.413,7.62E-05,0.0603,-13.178,0.055,77.983,0.306,87,180381,0.354567308,0.590214067,0.296698496,0.035887051,0.070202598,0.29659894,0.183338902
Teardrops On My Guitar - Radio Single Remix,205659902,138948,Taylor Swift,5eyZZoQEFQWRHkV2xgAeBw,24/10/2006,3,7zMcNqs55Mxer82bvZFkpg,FALSE,spotify:track:7zMcNqs55Mxer82bvZFkpg,0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,69,203040,0.359375,0.577981651,0.685951445,0,0.22621626,0.277826855,0.226110051
ivy,203810528,234798,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,10,19CSr8rwW05VJL2F91KFNK,TRUE,spotify:track:19CSr8rwW05VJL2F91KFNK,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,0.535,73,260440,0.513221154,0.415902141,0.540161019,0.013724828,0.147414093,0.549469965,0.334458343
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),202293070,232149,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,23,01K4zKU104LyJ8gMb7227B,FALSE,spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,78,258812,0.311298077,0.555045872,0.529051988,0.004949938,0.240468396,0.45119258,0.331385329
evermore (feat. Bon Iver),200403089,248235,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,15,3O5osWf1rSoKMwe6E9ZaXP,FALSE,spotify:track:3O5osWf1rSoKMwe6E9ZaXP,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,70,304106,0.182692308,0.224770642,0.45303626,0.008662392,0.405337272,0.312058304,0.416882325
mad woman,200320549,198912,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,12,2QDyYdZyhlP2fp79KZX8Bi,TRUE,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,0.655,0.592,0.699,1.68E-05,0.114,-8.995,0.0471,141.916,0.506,72,237258,0.698317308,0.533639144,0.557760719,0.026999663,0.524204487,0.517446996,0.290699979
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),199989231,187554,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,26,4CkgMiMqZ5JzW9iYXSTMTL,FALSE,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,76,285106,0.717548077,0.226299694,0.837296386,0.029699629,0.579153677,0.481007067,0.381017908
peace,195510020,204276,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,15,7MbT4I8qGntX4fMdqMQgke,TRUE,spotify:track:7MbT4I8qGntX4fMdqMQgke,0.918,0.647,0.272,1.73E-05,0.0918,-12.906,0.0916,150.044,0.339,73,234000,0.185096154,0.617737003,0.313674093,0.077061537,0.581923151,0.333038869,0.284550175
marjorie,194377401,354968,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,13,12ntTeqEeTg7GAVpe8Mhpl,FALSE,spotify:track:12ntTeqEeTg7GAVpe8Mhpl,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,76,257773,0.532451923,0.44648318,0.394620233,0.028462144,0.198876588,0.275618375,0.329424112
Clean,192010467,50987,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,13,06WgOCf0LV2h4keYXDRnuh,FALSE,spotify:track:06WgOCf0LV2h4keYXDRnuh,0.241,0.81,0.379,0,0.113,-7.771,0.0349,103.981,0.22,49,271000,0.313701923,0.866972477,0.634150908,0.013274834,0.254819949,0.201634276,0.354391409
Better Than Revenge,187805188,71212,Speak Now,34htrbhergrgerhrh,25/10/2010,10,2ythurkTtSiyfK7GprJoFW,FALSE,spotify:track:2ythurkTtSiyfK7GprJoFW,0.0139,0.516,0.917,6.37E-06,0.36,-3.186,0.0827,145.821,0.635,57,217160,0.960336538,0.417431193,0.920302066,0.067049162,0.551934726,0.659893993,0.252762976
long story short,183733223,202801,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,12,2o2sgVJIgFXk8GQjWTgI6U,FALSE,spotify:track:2o2sgVJIgFXk8GQjWTgI6U,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,69,215920,0.735576923,0.463302752,0.638332397,0.020924738,0.637674779,0.591431095,0.250422351
New Year's Day,182557155,203349,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,15,7F5oktn5YOsR9eR5YsFtqb,FALSE,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,77,235466,0.039663462,0.639143731,0.316295325,0.013837327,0.190490055,0.212676678,0.287317398
Picture To Burn,182226408,170854,Taylor Swift,5eyZZoQEFQWRHkV2xgAeBw,24/10/2006,2,32mVHdy0bi1XKgr0ajsBlG,FALSE,spotify:track:32mVHdy0bi1XKgr0ajsBlG,0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,71,173066,0.912259615,0.634556575,0.988204456,0.010349871,0.266217397,0.865282686,0.169531101
Message In A Bottle (Taylor's Version) (From The Vault),179904432,146294,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,25,3z6XUommYDWPHeFhmhhT6j,FALSE,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72E-06,0.083,-6.106,0.0535,115.915,0.494,74,225960,0.808894231,0.579510703,0.738064033,0.034199573,0.339565832,0.504196113,0.269373864
Sparks Fly,178059240,59877,Speak Now,34htrbhergrgerhrh,25/10/2010,2,6d9IiDcFxtFVIvt9pCqyGH,FALSE,spotify:track:6d9IiDcFxtFVIvt9pCqyGH,0.0396,0.605,0.787,1.42E-06,0.163,-3.002,0.0308,114.987,0.374,60,260933,0.804086538,0.55351682,0.931785558,0.008662392,0.332975906,0.371687279,0.335388931
happiness,174844049,175557,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,7,73YUReisjb3A9ActdLLjJQ,TRUE,spotify:track:73YUReisjb3A9ActdLLjJQ,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,71,315146,0.259615385,0.483180428,0.449291643,0.016312296,0.383337712,0.191696113,0.437721439
hoax,174475220,177375,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,16,6MWoRt97mnSTXZhu3ggi9C,FALSE,spotify:track:6MWoRt97mnSTXZhu3ggi9C,0.966,0.662,0.181,3.86E-06,0.133,-15.065,0.0415,118.819,0.429,72,220042,0.075721154,0.640672783,0.178930288,0.020699741,0.360187756,0.432420495,0.258203042
epiphany,173577094,161453,folklore,1pzvBxYgT6OVwJLtHkrdQK,24/07/2020,13,08fa9LFcFBTcilB3iq2e2A,FALSE,spotify:track:08fa9LFcFBTcilB3iq2e2A,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,70,289749,0.179086538,0.169724771,0.26474443,0.00562493,0.185497902,0.083480565,0.389782039
cowboy like me,173548876,205613,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,11,1XjHRolIXL2M1EEOUsGGR4,TRUE,spotify:track:1XjHRolIXL2M1EEOUsGGR4,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,72,275040,0.479567308,0.551987768,0.556574924,0.013049837,0.425149658,0.522968198,0.362017317
Paris,170133797,178531,Midnights,1fnJ7k0bllNfL1kVdNVW1A,22/10/2022,16,7712gjoih4QoDbXpljEk21,FALSE,spotify:track:7712gjoih4QoDbXpljEk21,0.112,0.7,0.509,3.27E-05,0.137,-10.547,0.0789,110.947,0.345,72,196258,0.469951923,0.698776758,0.460899956,0.062774215,0.304287003,0.339664311,0.213308341
So It Goes...,169855307,183547,reputation,6DEjYFkNZh67HP7R9PSZvv,10/11/2017,7,5PxFv9yJEg9dxvbZggykro,FALSE,spotify:track:5PxFv9yJEg9dxvbZggykro,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,76,227906,0.591346154,0.506116208,0.664607127,0.056361795,0.048714325,0.371687279,0.273047135
Bigger Than The Whole Sky,169113478,203412,Midnights,1fnJ7k0bllNfL1kVdNVW1A,22/10/2022,15,0BiqmkasE5FdrChwKfVp8X,FALSE,spotify:track:0BiqmkasE5FdrChwKfVp8X,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,73,218502,0.140625,0.273700306,0.346564314,0.037912026,0.693170763,0.033789753,0.255296136
coney island (feat. The National),168684863,177382,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,9,3k7ne7VmH43ZPWxPdvPUgR,FALSE,spotify:track:3k7ne7VmH43ZPWxPdvPUgR,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,68,275320,0.503605769,0.449541284,0.416026961,0.043424457,0.282614099,0.281139576,0.362545845
How You Get The Girl,166422052,52434,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,10,4dYUOfmWna6DFccnz732n8,FALSE,spotify:track:4dYUOfmWna6DFccnz732n8,0.00461,0.764,0.66,0.00477,0.0915,-6.136,0.0494,119.988,0.524,50,247533,0.651442308,0.796636086,0.736191724,0.02958713,0.368489075,0.537323322,0.310095078
Back To December (Taylor's Version),166224629,452440,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,7/07/2023,3,79uDOz0zuuWS7HWxzMmTa2,FALSE,spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00621,0.497,0.635,0,0.117,-3.927,0.0273,142.063,0.203,82,294189,0.621394231,0.388379205,0.874056044,0.004724941,0.525248365,0.182862191,0.398162987
Hits Different,165417574,340216,Midnights,1fnJ7k0bllNfL1kVdNVW1A,26/05/2023,21,3xYJScVfxByb61dYHTwiby,FALSE,spotify:track:3xYJScVfxByb61dYHTwiby,0.148,0.672,0.782,4.73E-06,0.296,-6.499,0.0421,106.026,0.239,81,234466,0.798076923,0.655963303,0.713536791,0.021374733,0.269341931,0.222614841,0.285429797
dorothea,162444701,178395,evermore,6AORtDjduMM3bupSWzbTSG,11/12/2020,8,670fUmXf4KQekzbEgaXyPA,FALSE,spotify:track:670fUmXf4KQekzbEgaXyPA,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,69,225880,0.444711538,0.55351682,0.599762841,0.003712454,0.368332848,0.349602473,0.269222856
Snow On The Beach (feat. More Lana Del Rey),160631977,368989,Midnights,1fnJ7k0bllNfL1kVdNVW1A,26/05/2023,22,4zmKGsrXjLmljb5fTaBTot,TRUE,spotify:track:4zmKGsrXjLmljb5fTaBTot,0.806,0.664,0.401,3.50E-06,0.108,-10.934,0.0344,109.846,0.315,81,229942,0.340144231,0.643730887,0.436747176,0.012712341,0.296468566,0.306537102,0.276890291
The Very First Night (Taylor's Version) (From The Vault),160407129,170431,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,12/11/2021,29,6pYNq0ZwpPVazKzsqpf0G8,FALSE,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,76,200280,0.739182692,0.665137615,0.805529551,0.00562493,0.375739414,0.600265018,0.220900272
Style (Taylor's Version),156507930,803605,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,3,1hjRhYpWyqDpPahmSlUTlc,FALSE,spotify:track:1hjRhYpWyqDpPahmSlUTlc,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,0.292,86,231000,0.848557692,0.50764526,0.818136429,0.01676229,0.190838014,0.281139576,0.278887373
The Story Of Us,150069501,32576,Speak Now,34htrbhergrgerhrh,25/10/2010,7,3RBluWmSoG2pGA1OePzGJI,FALSE,spotify:track:3RBluWmSoG2pGA1OePzGJI,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,56,265666,0.841346154,0.458715596,0.893777695,0.018787265,0.509874238,0.712897527,0.344322946
I Wish You Would,149959773,34151,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,7,3wmN11qXGL0HyPojvEE1D9,FALSE,spotify:track:3wmN11qXGL0HyPojvEE1D9,0.016,0.648,0.898,9.91E-05,0.109,-5.963,0.0513,118.02,0.502,50,207440,0.9375,0.619266055,0.746988704,0.031724603,0.354513886,0.513030035,0.234415495
Mine (Taylor's Version),148364600,387386,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,7/07/2023,1,7G0gBu6nLdhFDPRLc0HdDG,FALSE,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00444,0.646,0.783,1.38E-06,0.171,-2.846,0.0356,121.08,0.49,82,231706,0.799278846,0.616207951,0.941521563,0.014062324,0.3762436,0.499779152,0.280220019
Wonderland,146644306,42482,1989,5e234f2rg34gQ34gergerhrh,27/10/2014,14,6iWMI5oOhWrDbLbjmwTWFq,FALSE,spotify:track:6iWMI5oOhWrDbLbjmwTWFq,0.0493,0.422,0.692,2.57E-05,0.177,-5.447,0.0549,184.014,0.197,60,245560,0.689903846,0.273700306,0.779192411,0.035774553,0.823151377,0.176236749,0.306370842
Say Don't Go (Taylor's Version) (From The Vault),145082839,513654,1989 (Taylor's Version),1o59UpKw81iHR0HPiSkJR0,26/10/2023,18,4NioO5R9sHEZh4cGzMHyNt,FALSE,spotify:track:4NioO5R9sHEZh4cGzMHyNt,0.0656,0.626,0.547,1.67E-05,0.149,-8.285,0.0342,109.946,0.192,83,279833,0.515625,0.585626911,0.602072021,0.012487344,0.297178688,0.170715548,0.371064588
High Infidelity,143082995,154508,Midnights,1fnJ7k0bllNfL1kVdNVW1A,22/10/2022,17,5kiZGSxgqPdv6rbqL9THdd,FALSE,spotify:track:5kiZGSxgqPdv6rbqL9THdd,0.723,0.646,0.529,0,0.0885,-10.179,0.0864,87.862,0.755,71,231475,0.493990385,0.616207951,0.483866941,0.07121161,0.140355487,0.792402827,0.279783983
the lakes - bonus track,141801683,188274,folklore,1pzvBxYgT6OVwJLtHkrdQK,18/08/2020,17,0eFQWVz0qIxDOvhLpZ40P7,FALSE,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,74,211813,0.168269231,0.107033639,0.399425825,0.017099786,0.794270741,0.254637809,0.242669974
